DESC,ProdID,Price1,Price2,ProdTypeID,UnitCost,SupplierID
Palm Polishing Equipment,81,122.39,105.38,3,103.27,3
Numerals Covers,82,102.87,88.98,13,83.64,2
Horses Lifts,83,487.3,402.51,14,366.28,10
Unjust Paper Supplies,84,222.48,182.21,6,176.74,7
Disallow Manufacturing Equipment,85,165.24,145.91,2,144.45,5
Soya Cleaning Supplies,86,406.93,345.89,5,345.89,1
Suing Manufacturing Equipment,87,482.16,426.71,2,401.11,6
Vestiges Tray Supplies,88,231.45,192.1,8,186.34,10
Travel Paper Supplies,89,129.85,108.81,6,103.37,10
Curiouser Cleaning Supplies,90,419.36,364.42,5,338.91,5
Scribble Plastic Supplies,91,492.4,405.74,7,397.63,1
Behind Tray Supplies,92,166.65,138.99,8,129.26,7
Bellowing Polishing Equipment,93,502.57,451.31,3,446.8,6
Beliefs Freezing Chemicals,94,566.64,483.91,11,454.88,4
Duplicator Polishing Equipment,95,544.28,465.36,3,432.78,7
Drafty Cleaning Supplies,96,107.13,92.67,5,88.96,3
Stickiest Paper Supplies,97,575.92,502.78,6,467.59,3
Barrels Flushing Chemicals,98,135.1,116.59,10,108.43,1
Richards Freezing Chemicals,99,529.35,475.36,11,470.61,5
Pervasively Manufacturing Equipment,100,374.14,334.86,2,308.07,8
